ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released
"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02,,Zedd,,True Colors,,,$1.29 ,,,,,,18-May-15,18-May-15
"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11","I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",David Guetta,,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],,,$1.29 ,$0.99 ,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,03:34,,,
"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Nothing But the Beat Dance , Music , House , Electronic , Rock","I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,,,Nothing But the Beat 2.0 [ Explicit ],,,$1.29 ,$0.99 ,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,03:34,,26-Aug-11,
Silver and Gold 3:33,Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31,Little Big Town,,Pain Killer,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",,$1.29 ,$1.29 ,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",,,,21-Oct-14,21-Oct-14
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14","I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Listen ( Deluxe Version ),,,Dance & Electronic,,,,,03:20,03:08,,
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14","I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,,,"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,,,,,03:20,03:08,,
"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14","Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014",,Wiz Khalifa,Blacc Hollywood,Blacc Hollywood [ Explicit ],,Rap & Hip-Hop,$1.29 ,,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,,,
"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Dance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11","In My Head ( feat . Nervo ) David Guetta Dance & Electronic 2015 Real Sounds 3:51 August 26 , 2011",,,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],,,,$0.99 ,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,,,,
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14","Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ] September 20 , 2005",,David Banner,,Certified ( Edited Version ),,Rap & Hip-Hop,,$0.99 ,,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",03:20,04:27,,
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14","Choose Me ( Album Version ( Edited ) ) [ feat . Sky ] [ Clean ] David Banner Mississippi-The Album ( Explicit Version ) Pop $ 0.99 ( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",,,,,,,,,,,03:20,04:24,,20-May-03
