ltable_Beer_Name,rtable_Beer_Name,ltable_Brew_Factory_Name,rtable_Brew_Factory_Name,ltable_Style,rtable_Style,ltable_ABV,rtable_ABV
C N Red Imperial Red Ale,Kinetic Infrared Imperial Red Ale,Redwood Lodge,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,8.10%,9.30%
Mountain Series : Love Rhino ( Imperial Red Ale ),Kinetic Infrared Imperial Red Ale,Breckenridge Brewery,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,8.90%,9.30%
Arthur 's Imperial Red Ale,Kinetic Infrared Imperial Red Ale,Otto 's Pub and Brewery,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,6.90%,9.30%
Deranger Imperial Red Ale,Kinetic Infrared Imperial Red Ale,Laurelwood Public House & Brewery,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,8.60%,9.30%
Red Shedman 's Imperial Amber Ale,Kinetic Infrared Imperial Red Ale,57 Brew Pub & Bistro,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,7.60%,9.30%
C N Red Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale,Redwood Lodge,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,8.10%,10%
Double Dread Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale,Mad River Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,8.60%,10%
West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Ballast Point Tongue Buckler Imperial Red Ale,West Sixth Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,13.00%,10%
C N Red Imperial Red Ale,Tumbledown Imp Imperial Red Ale,Redwood Lodge,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,8.10%,7.80%
Roundabout Imperial Red Ale,Tumbledown Imp Imperial Red Ale,Bonfire Brewing Co. .,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,8.80%,7.80%
Merry Prankster Imperial Red Ale,Tumbledown Imp Imperial Red Ale,Rock Bottom Restaurant & Brewery,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,4.56%,7.80%
Mountain Series : Love Rhino ( Imperial Red Ale ),Tumbledown Imp Imperial Red Ale,Breckenridge Brewery,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,8.90%,7.80%
6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Tumbledown Imp Imperial Red Ale,Kern River Brewing Company,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,8.00%,7.80%
Ale Mania Imperial Red Ale,Tumbledown Imp Imperial Red Ale,Ale-Mania,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,9.50%,7.80%
Sanibel Red Island Ale,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Point Ybel Brewing Company,American Amber / Red Ale,Irish Ale,5.60%,5.60%
Kniksen India Red Ale,Boneyard Skunkape India Red Ale,7 Fjell Bryggeri,Boneyard Beer Company,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,6.80%,6.50%
Kniksen India Red Ale,Good People Stepchild Belgian India Red Ale,7 Fjell Bryggeri,Good People Brewing Company,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,6.80%,7.80%
Street Cred India Rye Red Ale,Good People Stepchild Belgian India Red Ale,Roaring Fork Beer Company,Good People Brewing Company,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,7.20%,7.80%
Buffalo Trace Bourbon Barrel Aged Amber Ale,Ballast Point Calico Amber Ale - Rum Barrel Aged,Wolf Hills Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,Amber Ale,-,5%
Barrel Aged Red Ale,Ballast Point Calico Amber Ale - Rum Barrel Aged,BearWaters Brewing Co. .,Ballast Point Brewing Company,American Amber / Red Ale,Amber Ale,6.70%,5%
Buffalo Trace Bourbon Barrel Aged Amber Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale,Wolf Hills Brewing Company,Barley_s Brewing Company,American Amber / Red Ale,American Strong Ale,-,8.60%
Barrel Aged Red Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale,BearWaters Brewing Co. .,Barley_s Brewing Company,American Amber / Red Ale,American Strong Ale,6.70%,8.60%
Buffalo Trace Bourbon Barrel Aged Amber Ale,Barrel Trolley Amber Ale,Wolf Hills Brewing Company,Genesee Brewing Company &#40; North American Breweries &#41;,American Amber / Red Ale,Amber Ale,-,-
Poor Richard 's Ale,21st Amendment Poor Richards Ale,Dry Dock Brewing Co. .,21st Amendment Brewery,American Amber / Red Ale,Traditional Ale,6.50%,7%
Redeemer Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,Boston Beer Works - Canal Street,Laurelwood Public House & Brewery,American Amber / Red Ale,American Strong Ale,8.20%,8.60%
Barrel Aged Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,Boone Valley Brewing,Laurelwood Public House & Brewery,American Amber / Red Ale,American Strong Ale,9.99%,8.60%
Big Axe Red Ale,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Axe Brewing Company,Big Spruce Brewing,American Amber / Red Ale,Amber Ale,6.80%,-
Roundabout Imperial Red Ale,Anacapa Riptide Imperial Red Ale,Bonfire Brewing Co. .,Anacapa Brewing Company,American Amber / Red Ale,American Strong Ale,8.80%,8%
Sledgehammer Imperial Red Ale,Anacapa Riptide Imperial Red Ale,Cambridge Brewing Company,Anacapa Brewing Company,American Amber / Red Ale,American Strong Ale,7.75%,8%
Roundabout Imperial Red Ale,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,Bonfire Brewing Co. .,AleSmith Brewing Company,American Amber / Red Ale,American Strong Ale,8.80%,8.50%
Stupiphany Imperial Red Ale,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,AleSmith Brewing Company,American Amber / Red Ale,American Strong Ale,8.00%,8.50%
Roundabout Imperial Red Ale,Marble Imperial Red Ale,Bonfire Brewing Co. .,Marble Brewery,American Amber / Red Ale,American Strong Ale,8.80%,9%
Merry Prankster Imperial Red Ale,Marble Imperial Red Ale,Rock Bottom Restaurant & Brewery,Marble Brewery,American Amber / Red Ale,American Strong Ale,4.56%,9%
Roundabout Imperial Red Ale,Peter Bs Sum Of Hours Imperial Red Ale,Bonfire Brewing Co. .,Peter Bs Brewpub,American Amber / Red Ale,American Strong Ale,8.80%,9.50%
Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Peter Bs Sum Of Hours Imperial Red Ale,Sierra Nevada Brewing Co. .,Peter Bs Brewpub,American Amber / Red Ale,American Strong Ale,8.00%,9.50%
