ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released
Illusion ( feat . Echosmith ),Transmission [ feat . X Ambassadors ],Zedd,Zedd,True Colors,True Colors,"Dance , Music , Electronic",Dance & Electronic,$1.29 ,$1.29 ,2015 Interscope Records,( C ) 2015 Interscope Records,06:30,04:02,18-May-15,18-May-15
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,David Guetta,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],"Dance , Music , Rock , House , Electronic",Dance & Electronic,$1.29 ,$0.99 ,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",2015 Real Sounds,03:34,03:29,26-Aug-11,26-Aug-11
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,David Guetta,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],"Dance , Music , House , Electronic , Rock",Dance & Electronic,$1.29 ,$0.99 ,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",2015 Real Sounds,03:34,03:29,26-Aug-11,26-Aug-11
Silver and Gold,Silver And Gold,Little Big Town,Little Big Town,Pain Killer,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",Country,$1.29 ,$1.29 ,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville,03:33,03:31,21-Oct-14,21-Oct-14
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,David Guetta,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,03:20,03:08,24-Nov-14,24-Nov-14
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,David Guetta,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,03:20,03:08,24-Nov-14,24-Nov-14
True Colors ( feat . Nicki Minaj ),Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,Blacc Hollywood,Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",Rap & Hip-Hop,$1.29 ,$1.29 ,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,04:16,19-Aug-14,19-Aug-14
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),In My Head ( feat . Nervo ),David Guetta,David Guetta,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],"Dance , Music , House , Electronic , Rock",Dance & Electronic,$1.29 ,$0.99 ,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",2015 Real Sounds,03:34,03:51,26-Aug-11,26-Aug-11
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ],David Guetta,David Banner,Listen ( Deluxe Version ),Certified ( Edited Version ),"Dance , Music , Rock , House , Electronic , French Pop",Rap & Hip-Hop,$1.29 ,$0.99 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","( C ) 2014 Island Records , a division of UMG Recordings , Inc.",03:20,04:27,24-Nov-14,20-Sep-05
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Choose Me ( Album Version ( Edited ) ) [ feat . Sky ] [ Clean ],David Guetta,David Banner,Listen ( Deluxe Version ),Mississippi-The Album ( Explicit Version ),"Dance , Music , Rock , House , Electronic , French Pop",Pop,$1.29 ,$0.99 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",03:20,04:24,24-Nov-14,20-May-03
