ltable_title,rtable_title,ltable_manufacturer,rtable_manufacturer,ltable_price,rtable_price
microsoft visio standard 2007 version upgrade,adobe cs3 design standard upgrade,microsoft,,129.95,413.99
adobe premiere pro cs3 upgrade,adobe cs3 design standard upgrade,adobe,,299,413.99
adobe indesign cs3 upgrade from pagemaker [ mac ],adobe cs3 design standard upgrade,adobe,,199,413.99
adobe creative suite cs3 design standard [ mac ],adobe cs3 design standard upgrade,adobe,,1199,413.99
adobe creative suite cs3 design premium upsell [ mac ],adobe cs3 design standard upgrade,adobe,,1599,413.99
microsoft office 2004 standard upgrade ( mac ),adobe cs3 design standard upgrade,microsoft,,239.99,413.99
adobe dreamweaver cs3 upgrade,adobe cs3 design standard upgrade,adobe,,199,413.99
adobe after effects cs3 upgrade,adobe cs3 design standard upgrade,adobe,,299,413.99
adobe illustrator cs3 upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,199,413.99
adobe creative suite cs3 design premium upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,599,413.99
adobe acrobat standard 8.0,adobe cs3 design standard upgrade,adobe,,449.99,413.99
adobe flash pro cs3 upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,199,413.99
adobe creative suite cs3 design standard upgrade,adobe cs3 design standard upgrade,adobe,,399,413.99
adobe creative suite cs3 web standard upsell,adobe cs3 design standard upgrade,adobe,,799,413.99
corel wordperfect office 12 standard upgrade,adobe cs3 design standard upgrade,corel,,149.99,413.99
adobe creative suite cs3 design premium upsell,adobe cs3 design standard upgrade,adobe,,1599,413.99
state standards grade 6,adobe cs3 design standard upgrade,topics entertainment,,29.95,413.99
adobe cs3 design premium macosx dvd,adobe cs3 design standard upgrade,adobe,,599,413.99
adobe photoshop cs3 upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,199,413.99
adobe creative suite cs3 web standard upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,399,413.99
adobe creative suite cs3 web premium upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,499,413.99
adobe after effects professional 6.5 upgrade from standard to professional,adobe cs3 design standard upgrade,adobe,,499.99,413.99
adobe illustrator cs3 upgrade from freehand [ mac ],adobe cs3 design standard upgrade,adobe,,199,413.99
state standards grade 8,adobe cs3 design standard upgrade,topics entertainment,,29.95,413.99
microsoft visio standard 2007 version upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,129.95,129.95
microsoft office frontpage 2003 academic version windows ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,159.98,129.95
microsoft office small business 2007 full version,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,449.95,129.95
microsoft powerpoint 2004 upgrade ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,109.99,129.95
microsoft visual studio professional 2005 upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft software,,549,129.95
microsoft office small business 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft software,,735.33,129.95
microsoft office 2004 standard upgrade ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,239.99,129.95
microsoft powerpoint 2004 ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,229.99,129.95
microsoft office student and teacher edition 2004 macintosh,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,149.99,129.95
microsoft office 2004 standard ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,399.99,129.95
microsoft visio standard 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,259.95,129.95
microsoft office 2004 professional ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,499.99,129.95
microsoft onenote 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,99.95,129.95
microsoft mappoint 2006 standard edition,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,299,129.95
microsoft excel 2004 ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,229.99,129.95
microsoft publisher 2007 version upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,99.95,129.95
corel wordperfect office 12 standard upgrade,microsoft office visio standard 2007 upgrade ( pc ),corel,,149.99,129.95
microsoft outlook 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,109.95,129.95
microsoft visio standard 2007 version upgrade,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,129.95,757.74
microsoft crm professional cal 3.0 product upgrade license pack user cal,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,9980,757.74
microsoft visual studio professional 2005 upgrade,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,549,757.74
microsoft office 2004 professional ( mac ),f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,499.99,757.74
microsoft visual studio test agent 2005 cd 1 processor license,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,5099,757.74
microsoft visual studio team edition for software architect 2005 with msdn premium,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,5479,757.74
microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,2309,757.74
microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,10949,757.74
microsoft visio standard 2007 version upgrade,microsoft ( r ) money 2004 standard,microsoft,,129.95,29.99
microsoft mappoint 2006 with gps,microsoft ( r ) money 2004 standard,microsoft,,349,29.99
microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) money 2004 standard,microsoft,,109.99,29.99
microsoft office 2004 standard upgrade ( mac ),microsoft ( r ) money 2004 standard,microsoft,,239.99,29.99
microsoft powerpoint 2004 ( mac ),microsoft ( r ) money 2004 standard,microsoft,,229.99,29.99
microsoft office 2004 standard ( mac ),microsoft ( r ) money 2004 standard,microsoft,,399.99,29.99
microsoft office 2004 professional ( mac ),microsoft ( r ) money 2004 standard,microsoft,,499.99,29.99
microsoft onenote 2007 upgrade,microsoft ( r ) money 2004 standard,microsoft,,79.95,29.99
microsoft onenote 2007,microsoft ( r ) money 2004 standard,microsoft,,99.95,29.99
microsoft data analyzer 2002,microsoft ( r ) money 2004 standard,microsoft,,179,29.99
microsoft works suite 2006,microsoft ( r ) money 2004 standard,microsoft,,99,29.99
microsoft outlook 2007,microsoft ( r ) money 2004 standard,microsoft,,109.95,29.99
microsoft office excel 2007,microsoft ( r ) money 2004 standard,microsoft,,229.95,29.99
microsoft word 2004 ( mac ),microsoft ( r ) money 2004 standard,microsoft,,229.99,29.99
microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft ( r ) money 2004 standard,microsoft,,1849,29.99
microsoft visio standard 2007 version upgrade,publisher 2007 upgrade microsoft 164-04052,microsoft,,129.95,69.71
microsoft powerpoint 2004 upgrade ( mac ),publisher 2007 upgrade microsoft 164-04052,microsoft,,109.99,69.71
microsoft word 2007 version upgrade,publisher 2007 upgrade microsoft 164-04052,microsoft,,109.95,69.71
microsoft office 2004 standard upgrade ( mac ),publisher 2007 upgrade microsoft 164-04052,microsoft,,239.99,69.71
microsoft windows xp professional upgrade with sp2,publisher 2007 upgrade microsoft 164-04052,microsoft software,,199.99,69.71
microsoft data analyzer 2002,publisher 2007 upgrade microsoft 164-04052,microsoft,,179,69.71
microsoft publisher 2007 version upgrade,publisher 2007 upgrade microsoft 164-04052,microsoft,,99.95,69.71
microsoft publisher with digital imaging 2003 [ old version ],publisher 2007 upgrade microsoft 164-04052,microsoft,,209.99,69.71
microsoft visio standard 2007 version upgrade,microsoft windows vista ultimate upgrade,microsoft,,129.95,239.95
microsoft office frontpage 2003 academic version windows ),microsoft windows vista ultimate upgrade,microsoft,,159.98,239.95
microsoft windows xp professional full version with sp2,microsoft windows vista ultimate upgrade,microsoft,,299.99,239.95
microsoft powerpoint 2004 upgrade ( mac ),microsoft windows vista ultimate upgrade,microsoft,,109.99,239.95
microsoft word 2007 version upgrade,microsoft windows vista ultimate upgrade,microsoft,,109.95,239.95
microsoft windows vista business full version [ dvd ],microsoft windows vista ultimate upgrade,microsoft,,299.95,239.95
microsoft asp net web matrix,microsoft windows vista ultimate upgrade,microsoft,,30,239.95
microsoft visio standard 2007,microsoft windows vista ultimate upgrade,microsoft,,259.95,239.95
microsoft onenote 2007 upgrade,microsoft windows vista ultimate upgrade,microsoft,,79.95,239.95
microsoft windows xp professional upgrade with sp2,microsoft windows vista ultimate upgrade,microsoft software,,199.99,239.95
microsoft office & windows training,microsoft windows vista ultimate upgrade,topics entertainment,,29.99,239.95
microsoft word 2004 upgrade ( mac ),microsoft windows vista ultimate upgrade,microsoft,,109.99,239.95
microsoft publisher 2007 version upgrade,microsoft windows vista ultimate upgrade,microsoft,,99.95,239.95
emc retrospect 7.5 professional for windows upgrade,microsoft windows vista ultimate upgrade,dantz,,,239.95
microsoft virtual pc for mac 7.0 with windows xp home,microsoft windows vista ultimate upgrade,microsoft,,219.99,239.95
microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft windows vista ultimate upgrade,microsoft,,709,239.95
microsoft windows vista ultimate upgrade [ dvd ],microsoft windows vista ultimate upgrade,microsoft,,259.95,239.95
microsoft windows xp home edition full version with sp2,microsoft windows vista ultimate upgrade,microsoft,,199,239.95
microsoft visio standard 2007 version upgrade,adobe pagemaker 7.0 for mac version upgrade,microsoft,,129.95,79.99
adobe premiere pro cs3 upgrade,adobe pagemaker 7.0 for mac version upgrade,adobe,,299,79.99
microsoft word 2007 version upgrade,adobe pagemaker 7.0 for mac version upgrade,microsoft,,109.95,79.99
adobe indesign cs3 upgrade from pagemaker [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,199,79.99
adobe dreamweaver cs3 upgrade,adobe pagemaker 7.0 for mac version upgrade,adobe,,199,79.99
adobe photoshop cs3 extended upgrade [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,349,79.99
adobe photoshop cs2 ( mac ) [ old version ],adobe pagemaker 7.0 for mac version upgrade,adobe,,649,79.99
adobe flash pro cs3 upgrade [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,199,79.99
adobe photoshop cs3 upgrade [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,199,79.99
microsoft visio standard 2007 version upgrade,microsoft windows vista business full version,microsoft,,129.95,249.95
microsoft office frontpage 2003 academic version windows ),microsoft windows vista business full version,microsoft,,159.98,249.95
microsoft office & windows training professional,microsoft windows vista business full version,topics entertainment,,49.95,249.95
microsoft windows vista business full version [ dvd ],microsoft windows vista business full version,microsoft,,299.95,249.95
windows vista business spanish full version [ dvd ],microsoft windows vista business full version,microsoft,,329.95,249.95
microsoft windows vista business 32-bit for system builders,microsoft windows vista business full version,microsoft,,179.99,249.95
microsoft office small business 2007,microsoft windows vista business full version,microsoft software,,735.33,249.95
microsoft windows vista ultimate full version [ dvd ],microsoft windows vista business full version,microsoft,,399.95,249.95
microsoft visio standard 2007,microsoft windows vista business full version,microsoft,,259.95,249.95
microsoft windows xp professional upgrade with sp2,microsoft windows vista business full version,microsoft software,,199.99,249.95
microsoft office & windows training,microsoft windows vista business full version,topics entertainment,,29.99,249.95
microsoft windows server 2003 client additional license for users-5 pack,microsoft windows vista business full version,microsoft,,809,249.95
microsoft windows vista home basic upgrade [ dvd ],microsoft windows vista business full version,microsoft,,99.95,249.95
microsoft publisher 2007 version upgrade,microsoft windows vista business full version,microsoft,,99.95,249.95
microsoft virtual pc for mac 7.0 with windows xp home,microsoft windows vista business full version,microsoft,,219.99,249.95
microsoft windows vista ultimate upgrade [ dvd ],microsoft windows vista business full version,microsoft,,259.95,249.95
microsoft windows xp home edition full version with sp2,microsoft windows vista business full version,microsoft,,199,249.95
microsoft upg win small business svr cal t74-01215 ),microsoft windows vista business full version,microsoft corporation,,330.14,249.95
microsoft virtual pc for mac 7.0 with windows 2000,microsoft windows vista business full version,microsoft,,249.99,249.95
microsoft productivity pack for windows mobile,microsoft windows vista business full version,microsoft,,29.99,249.95
microsoft visio standard 2007 version upgrade,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,129.95,549
microsoft powerpoint 2004 upgrade ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,109.99,549
microsoft visual studio team edition for software developers 2005 with msdn premium,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,5479,549
microsoft visual studio professional 2005 upgrade,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,549,549
microsoft office 2004 standard upgrade ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,239.99,549
microsoft visual studio test agent 2005 cd 1 processor license,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,5099,549
microsoft visual studio professional w/msdn professional 2005 renewal,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,799,549
microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,2309,549
apple final cut studio 2 upgrade from final cut studio ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,apple,,499,549
apple final cut studio 2 upgrade from final cut pro ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,apple,,699,549
microsoft visio standard 2007 version upgrade,microsoft ( r ) access 2007,microsoft,,129.95,109.99
microsoft office small business 2007 full version,microsoft ( r ) access 2007,microsoft,,449.95,109.99
microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) access 2007,microsoft,,109.99,109.99
microsoft word 2007 version upgrade,microsoft ( r ) access 2007,microsoft,,109.95,109.99
microsoft asp net web matrix,microsoft ( r ) access 2007,microsoft,,30,109.99
microsoft office small business 2007,microsoft ( r ) access 2007,microsoft software,,735.33,109.99
microsoft office 2004 standard upgrade ( mac ),microsoft ( r ) access 2007,microsoft,,239.99,109.99
microsoft office 2004 standard ( mac ),microsoft ( r ) access 2007,microsoft,,399.99,109.99
microsoft visio standard 2007,microsoft ( r ) access 2007,microsoft,,259.95,109.99
microsoft office 2004 professional ( mac ),microsoft ( r ) access 2007,microsoft,,499.99,109.99
microsoft onenote 2007 upgrade,microsoft ( r ) access 2007,microsoft,,79.95,109.99
