ltable_id,rtable_id,ltable_title,rtable_title,ltable_category,rtable_category,ltable_brand,rtable_brand,ltable_modelno,rtable_modelno,ltable_price,rtable_price,label
581,17384,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,,projection screens,,elite,,,,,0
581,16963,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,,,,,0
1136,16963,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,electronics - general,,,,pvr135h1,,,,0
581,17380,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,cinewhite prime vision series fixed frame screen - 120 diagonal projection screens 929.0,,,,elite,,,,,0
1136,17380,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,cinewhite prime vision series fixed frame screen - 120 diagonal projection screens 929.0,electronics - general,,,elite,pvr135h1,,,,0
581,17697,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,,projection screens,,elite,,,,,0
1136,17697,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,electronics - general,projection screens,,elite,pvr135h1,,,,0
581,17383,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,,,,,0
1136,17383,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,electronics - general,,,,pvr135h1,,,,1
581,17382,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,,,,,205.2,0
