ltable_id,rtable_id,ltable_title,rtable_title,ltable_manufacturer,rtable_manufacturer,ltable_price,rtable_price,label
571,946,microsoft visio standard 2007 version upgrade,adobe cs3 design standard upgrade,microsoft,,129.95,413.99,0
26,946,adobe premiere pro cs3 upgrade,adobe cs3 design standard upgrade,adobe,,299.0,413.99,0
1174,946,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe cs3 design standard upgrade,adobe,,199.0,413.99,0
588,946,adobe creative suite cs3 design standard [ mac ],adobe cs3 design standard upgrade,adobe,,1199.0,413.99,0
139,946,adobe creative suite cs3 design premium upsell [ mac ],adobe cs3 design standard upgrade,adobe,,1599.0,413.99,0
518,946,microsoft office 2004 standard upgrade ( mac ),adobe cs3 design standard upgrade,microsoft,,239.99,413.99,0
572,946,adobe dreamweaver cs3 upgrade,adobe cs3 design standard upgrade,adobe,,199.0,413.99,0
592,946,adobe after effects cs3 upgrade,adobe cs3 design standard upgrade,adobe,,299.0,413.99,0
923,946,adobe illustrator cs3 upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,199.0,413.99,0
516,946,adobe creative suite cs3 design premium upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,599.0,413.99,0
1251,946,adobe acrobat standard 8.0,adobe cs3 design standard upgrade,adobe,,449.99,413.99,0
1262,946,adobe flash pro cs3 upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,199.0,413.99,0
615,946,adobe creative suite cs3 design standard upgrade,adobe cs3 design standard upgrade,adobe,,399.0,413.99,0
361,946,adobe creative suite cs3 web standard upsell,adobe cs3 design standard upgrade,adobe,,799.0,413.99,0
506,946,corel wordperfect office 12 standard upgrade,adobe cs3 design standard upgrade,corel,,149.99,413.99,0
1322,946,adobe creative suite cs3 design premium upsell,adobe cs3 design standard upgrade,adobe,,1599.0,413.99,0
298,946,state standards grade 6,adobe cs3 design standard upgrade,topics entertainment,,29.95,413.99,0
1130,946,adobe cs3 design premium macosx dvd,adobe cs3 design standard upgrade,adobe,,599.0,413.99,0
543,946,adobe photoshop cs3 upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,199.0,413.99,0
465,946,adobe creative suite cs3 web standard upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,399.0,413.99,0
608,946,adobe creative suite cs3 web premium upgrade [ mac ],adobe cs3 design standard upgrade,adobe,,499.0,413.99,0
6,946,adobe after effects professional 6.5 upgrade from standard to professional,adobe cs3 design standard upgrade,adobe,,499.99,413.99,0
216,946,adobe illustrator cs3 upgrade from freehand [ mac ],adobe cs3 design standard upgrade,adobe,,199.0,413.99,0
328,946,state standards grade 8,adobe cs3 design standard upgrade,topics entertainment,,29.95,413.99,0
571,3027,microsoft visio standard 2007 version upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,129.95,129.95,1
93,3027,microsoft office frontpage 2003 academic version windows ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,159.98,129.95,0
604,3027,microsoft office small business 2007 full version,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,449.95,129.95,0
371,3027,microsoft powerpoint 2004 upgrade ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,109.99,129.95,0
490,3027,microsoft visual studio professional 2005 upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft software,,549.0,129.95,0
271,3027,microsoft office small business 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft software,,735.33,129.95,0
518,3027,microsoft office 2004 standard upgrade ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,239.99,129.95,0
225,3027,microsoft powerpoint 2004 ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,229.99,129.95,0
1177,3027,microsoft office student and teacher edition 2004 macintosh,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,149.99,129.95,0
1145,3027,microsoft office 2004 standard ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,399.99,129.95,0
522,3027,microsoft visio standard 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,259.95,129.95,0
606,3027,microsoft office 2004 professional ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,499.99,129.95,0
541,3027,microsoft onenote 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,99.95,129.95,0
146,3027,microsoft mappoint 2006 standard edition,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,299.0,129.95,0
781,3027,microsoft excel 2004 ( mac ),microsoft office visio standard 2007 upgrade ( pc ),microsoft,,229.99,129.95,0
511,3027,microsoft publisher 2007 version upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,99.95,129.95,0
506,3027,corel wordperfect office 12 standard upgrade,microsoft office visio standard 2007 upgrade ( pc ),corel,,149.99,129.95,0
547,3027,microsoft outlook 2007,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,109.95,129.95,0
571,137,microsoft visio standard 2007 version upgrade,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,129.95,757.74,0
135,137,microsoft crm professional cal 3.0 product upgrade license pack user cal,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,9980.0,757.74,0
490,137,microsoft visual studio professional 2005 upgrade,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,549.0,757.74,0
606,137,microsoft office 2004 professional ( mac ),f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,499.99,757.74,0
393,137,microsoft visual studio test agent 2005 cd 1 processor license,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,5099.0,757.74,0
258,137,microsoft visual studio team edition for software architect 2005 with msdn premium,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,5479.0,757.74,0
761,137,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,2309.0,757.74,0
816,137,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,10949.0,757.74,0
571,3183,microsoft visio standard 2007 version upgrade,microsoft ( r ) money 2004 standard,microsoft,,129.95,29.99,0
574,3183,microsoft mappoint 2006 with gps,microsoft ( r ) money 2004 standard,microsoft,,349.0,29.99,0
371,3183,microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) money 2004 standard,microsoft,,109.99,29.99,0
518,3183,microsoft office 2004 standard upgrade ( mac ),microsoft ( r ) money 2004 standard,microsoft,,239.99,29.99,0
225,3183,microsoft powerpoint 2004 ( mac ),microsoft ( r ) money 2004 standard,microsoft,,229.99,29.99,0
1145,3183,microsoft office 2004 standard ( mac ),microsoft ( r ) money 2004 standard,microsoft,,399.99,29.99,0
606,3183,microsoft office 2004 professional ( mac ),microsoft ( r ) money 2004 standard,microsoft,,499.99,29.99,0
858,3183,microsoft onenote 2007 upgrade,microsoft ( r ) money 2004 standard,microsoft,,79.95,29.99,0
541,3183,microsoft onenote 2007,microsoft ( r ) money 2004 standard,microsoft,,99.95,29.99,0
497,3183,microsoft data analyzer 2002,microsoft ( r ) money 2004 standard,microsoft,,179.0,29.99,0
614,3183,microsoft works suite 2006,microsoft ( r ) money 2004 standard,microsoft,,99.0,29.99,0
547,3183,microsoft outlook 2007,microsoft ( r ) money 2004 standard,microsoft,,109.95,29.99,0
578,3183,microsoft office excel 2007,microsoft ( r ) money 2004 standard,microsoft,,229.95,29.99,0
605,3183,microsoft word 2004 ( mac ),microsoft ( r ) money 2004 standard,microsoft,,229.99,29.99,0
12,3183,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft ( r ) money 2004 standard,microsoft,,1849.0,29.99,0
571,1473,microsoft visio standard 2007 version upgrade,publisher 2007 upgrade microsoft 164-04052,microsoft,,129.95,69.71,0
371,1473,microsoft powerpoint 2004 upgrade ( mac ),publisher 2007 upgrade microsoft 164-04052,microsoft,,109.99,69.71,0
587,1473,microsoft word 2007 version upgrade,publisher 2007 upgrade microsoft 164-04052,microsoft,,109.95,69.71,0
518,1473,microsoft office 2004 standard upgrade ( mac ),publisher 2007 upgrade microsoft 164-04052,microsoft,,239.99,69.71,0
512,1473,microsoft windows xp professional upgrade with sp2,publisher 2007 upgrade microsoft 164-04052,microsoft software,,199.99,69.71,0
497,1473,microsoft data analyzer 2002,publisher 2007 upgrade microsoft 164-04052,microsoft,,179.0,69.71,0
511,1473,microsoft publisher 2007 version upgrade,publisher 2007 upgrade microsoft 164-04052,microsoft,,99.95,69.71,0
269,1473,microsoft publisher with digital imaging 2003 [ old version ],publisher 2007 upgrade microsoft 164-04052,microsoft,,209.99,69.71,0
571,2441,microsoft visio standard 2007 version upgrade,microsoft windows vista ultimate upgrade,microsoft,,129.95,239.95,0
93,2441,microsoft office frontpage 2003 academic version windows ),microsoft windows vista ultimate upgrade,microsoft,,159.98,239.95,0
632,2441,microsoft windows xp professional full version with sp2,microsoft windows vista ultimate upgrade,microsoft,,299.99,239.95,0
371,2441,microsoft powerpoint 2004 upgrade ( mac ),microsoft windows vista ultimate upgrade,microsoft,,109.99,239.95,0
587,2441,microsoft word 2007 version upgrade,microsoft windows vista ultimate upgrade,microsoft,,109.95,239.95,0
584,2441,microsoft windows vista business full version [ dvd ],microsoft windows vista ultimate upgrade,microsoft,,299.95,239.95,0
474,2441,microsoft asp net web matrix,microsoft windows vista ultimate upgrade,microsoft,,30.0,239.95,0
522,2441,microsoft visio standard 2007,microsoft windows vista ultimate upgrade,microsoft,,259.95,239.95,0
858,2441,microsoft onenote 2007 upgrade,microsoft windows vista ultimate upgrade,microsoft,,79.95,239.95,0
512,2441,microsoft windows xp professional upgrade with sp2,microsoft windows vista ultimate upgrade,microsoft software,,199.99,239.95,0
348,2441,microsoft office & windows training,microsoft windows vista ultimate upgrade,topics entertainment,,29.99,239.95,0
823,2441,microsoft word 2004 upgrade ( mac ),microsoft windows vista ultimate upgrade,microsoft,,109.99,239.95,0
511,2441,microsoft publisher 2007 version upgrade,microsoft windows vista ultimate upgrade,microsoft,,99.95,239.95,0
90,2441,emc retrospect 7.5 professional for windows upgrade,microsoft windows vista ultimate upgrade,dantz,,,239.95,0
645,2441,microsoft virtual pc for mac 7.0 with windows xp home,microsoft windows vista ultimate upgrade,microsoft,,219.99,239.95,0
443,2441,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft windows vista ultimate upgrade,microsoft,,709.0,239.95,0
514,2441,microsoft windows vista ultimate upgrade [ dvd ],microsoft windows vista ultimate upgrade,microsoft,,259.95,239.95,0
544,2441,microsoft windows xp home edition full version with sp2,microsoft windows vista ultimate upgrade,microsoft,,199.0,239.95,0
571,955,microsoft visio standard 2007 version upgrade,adobe pagemaker 7.0 for mac version upgrade,microsoft,,129.95,79.99,0
26,955,adobe premiere pro cs3 upgrade,adobe pagemaker 7.0 for mac version upgrade,adobe,,299.0,79.99,0
587,955,microsoft word 2007 version upgrade,adobe pagemaker 7.0 for mac version upgrade,microsoft,,109.95,79.99,0
1174,955,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,199.0,79.99,0
572,955,adobe dreamweaver cs3 upgrade,adobe pagemaker 7.0 for mac version upgrade,adobe,,199.0,79.99,0
837,955,adobe photoshop cs3 extended upgrade [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,349.0,79.99,0
737,955,adobe photoshop cs2 ( mac ) [ old version ],adobe pagemaker 7.0 for mac version upgrade,adobe,,649.0,79.99,0
1262,955,adobe flash pro cs3 upgrade [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,199.0,79.99,0
543,955,adobe photoshop cs3 upgrade [ mac ],adobe pagemaker 7.0 for mac version upgrade,adobe,,199.0,79.99,0
571,2959,microsoft visio standard 2007 version upgrade,microsoft windows vista business full version,microsoft,,129.95,249.95,0
93,2959,microsoft office frontpage 2003 academic version windows ),microsoft windows vista business full version,microsoft,,159.98,249.95,0
753,2959,microsoft office & windows training professional,microsoft windows vista business full version,topics entertainment,,49.95,249.95,0
584,2959,microsoft windows vista business full version [ dvd ],microsoft windows vista business full version,microsoft,,299.95,249.95,0
550,2959,windows vista business spanish full version [ dvd ],microsoft windows vista business full version,microsoft,,329.95,249.95,0
496,2959,microsoft windows vista business 32-bit for system builders,microsoft windows vista business full version,microsoft,,179.99,249.95,0
271,2959,microsoft office small business 2007,microsoft windows vista business full version,microsoft software,,735.33,249.95,0
523,2959,microsoft windows vista ultimate full version [ dvd ],microsoft windows vista business full version,microsoft,,399.95,249.95,0
522,2959,microsoft visio standard 2007,microsoft windows vista business full version,microsoft,,259.95,249.95,0
512,2959,microsoft windows xp professional upgrade with sp2,microsoft windows vista business full version,microsoft software,,199.99,249.95,0
348,2959,microsoft office & windows training,microsoft windows vista business full version,topics entertainment,,29.99,249.95,0
531,2959,microsoft windows server 2003 client additional license for users-5 pack,microsoft windows vista business full version,microsoft,,809.0,249.95,0
616,2959,microsoft windows vista home basic upgrade [ dvd ],microsoft windows vista business full version,microsoft,,99.95,249.95,0
511,2959,microsoft publisher 2007 version upgrade,microsoft windows vista business full version,microsoft,,99.95,249.95,0
645,2959,microsoft virtual pc for mac 7.0 with windows xp home,microsoft windows vista business full version,microsoft,,219.99,249.95,0
514,2959,microsoft windows vista ultimate upgrade [ dvd ],microsoft windows vista business full version,microsoft,,259.95,249.95,0
544,2959,microsoft windows xp home edition full version with sp2,microsoft windows vista business full version,microsoft,,199.0,249.95,0
218,2959,microsoft upg win small business svr cal t74-01215 ),microsoft windows vista business full version,microsoft corporation,,330.14,249.95,0
145,2959,microsoft virtual pc for mac 7.0 with windows 2000,microsoft windows vista business full version,microsoft,,249.99,249.95,0
492,2959,microsoft productivity pack for windows mobile,microsoft windows vista business full version,microsoft,,29.99,249.95,0
571,2803,microsoft visio standard 2007 version upgrade,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,129.95,549.0,0
371,2803,microsoft powerpoint 2004 upgrade ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,109.99,549.0,0
244,2803,microsoft visual studio team edition for software developers 2005 with msdn premium,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,5479.0,549.0,0
490,2803,microsoft visual studio professional 2005 upgrade,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,549.0,549.0,1
518,2803,microsoft office 2004 standard upgrade ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,239.99,549.0,0
393,2803,microsoft visual studio test agent 2005 cd 1 processor license,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,5099.0,549.0,0
1305,2803,microsoft visual studio professional w/msdn professional 2005 renewal,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,799.0,549.0,0
761,2803,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,,2309.0,549.0,0
625,2803,apple final cut studio 2 upgrade from final cut studio ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,apple,,499.0,549.0,0
638,2803,apple final cut studio 2 upgrade from final cut pro ( mac ),visual studio pro 2005 upgrade ( pc ) microsoft,apple,,699.0,549.0,0
571,1162,microsoft visio standard 2007 version upgrade,microsoft ( r ) access 2007,microsoft,,129.95,109.99,0
604,1162,microsoft office small business 2007 full version,microsoft ( r ) access 2007,microsoft,,449.95,109.99,0
371,1162,microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) access 2007,microsoft,,109.99,109.99,0
587,1162,microsoft word 2007 version upgrade,microsoft ( r ) access 2007,microsoft,,109.95,109.99,0
474,1162,microsoft asp net web matrix,microsoft ( r ) access 2007,microsoft,,30.0,109.99,0
271,1162,microsoft office small business 2007,microsoft ( r ) access 2007,microsoft software,,735.33,109.99,0
518,1162,microsoft office 2004 standard upgrade ( mac ),microsoft ( r ) access 2007,microsoft,,239.99,109.99,0
1145,1162,microsoft office 2004 standard ( mac ),microsoft ( r ) access 2007,microsoft,,399.99,109.99,0
522,1162,microsoft visio standard 2007,microsoft ( r ) access 2007,microsoft,,259.95,109.99,0
606,1162,microsoft office 2004 professional ( mac ),microsoft ( r ) access 2007,microsoft,,499.99,109.99,0
858,1162,microsoft onenote 2007 upgrade,microsoft ( r ) access 2007,microsoft,,79.95,109.99,0
541,1162,microsoft onenote 2007,microsoft ( r ) access 2007,microsoft,,99.95,109.99,0
781,1162,microsoft excel 2004 ( mac ),microsoft ( r ) access 2007,microsoft,,229.99,109.99,0
511,1162,microsoft publisher 2007 version upgrade,microsoft ( r ) access 2007,microsoft,,99.95,109.99,0
578,1162,microsoft office excel 2007,microsoft ( r ) access 2007,microsoft,,229.95,109.99,0
1016,1162,math success deluxe 2007,microsoft ( r ) access 2007,topics entertainment,,39.99,109.99,0
571,1129,microsoft visio standard 2007 version upgrade,microsoft academic microsoft visio 2003 professional,microsoft,,129.95,159.0,0
93,1129,microsoft office frontpage 2003 academic version windows ),microsoft academic microsoft visio 2003 professional,microsoft,,159.98,159.0,0
632,1129,microsoft windows xp professional full version with sp2,microsoft academic microsoft visio 2003 professional,microsoft,,299.99,159.0,0
753,1129,microsoft office & windows training professional,microsoft academic microsoft visio 2003 professional,topics entertainment,,49.95,159.0,0
587,1129,microsoft word 2007 version upgrade,microsoft academic microsoft visio 2003 professional,microsoft,,109.95,159.0,0
951,1129,microspot macdraft professional ( mac ),microsoft academic microsoft visio 2003 professional,microspot ltd.,,349.99,159.0,0
522,1129,microsoft visio standard 2007,microsoft academic microsoft visio 2003 professional,microsoft,,259.95,159.0,0
606,1129,microsoft office 2004 professional ( mac ),microsoft academic microsoft visio 2003 professional,microsoft,,499.99,159.0,0
1293,1129,systemsuite 8 professional,microsoft academic microsoft visio 2003 professional,individual software,,49.99,159.0,0
1305,1129,microsoft visual studio professional w/msdn professional 2005 renewal,microsoft academic microsoft visio 2003 professional,microsoft software,,799.0,159.0,0
511,1129,microsoft publisher 2007 version upgrade,microsoft academic microsoft visio 2003 professional,microsoft,,99.95,159.0,0
618,1129,pop-up stopper professional,microsoft academic microsoft visio 2003 professional,panicware,,29.99,159.0,0
614,1129,microsoft works suite 2006,microsoft academic microsoft visio 2003 professional,microsoft,,99.0,159.0,0
547,1129,microsoft outlook 2007,microsoft academic microsoft visio 2003 professional,microsoft,,109.95,159.0,0
866,1129,system care professional,microsoft academic microsoft visio 2003 professional,avanquest,,49.95,159.0,0
270,1129,adobe acrobat 7.0 professional,microsoft academic microsoft visio 2003 professional,adobe,,449.99,159.0,0
571,998,microsoft visio standard 2007 version upgrade,microsoft word 2004,microsoft,,129.95,209.99,0
574,998,microsoft mappoint 2006 with gps,microsoft word 2004,microsoft,,349.0,209.99,0
371,998,microsoft powerpoint 2004 upgrade ( mac ),microsoft word 2004,microsoft,,109.99,209.99,0
773,998,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft word 2004,microsoft corporation,,,209.99,0
490,998,microsoft visual studio professional 2005 upgrade,microsoft word 2004,microsoft software,,549.0,209.99,0
521,998,microsoft sql server developer edition 2005 cd/dvd,microsoft word 2004,microsoft software,,49.95,209.99,0
211,998,microsoft entertainment pack ce,microsoft word 2004,microsoft,,49.5,209.99,0
1145,998,microsoft office 2004 standard ( mac ),microsoft word 2004,microsoft,,399.99,209.99,0
522,998,microsoft visio standard 2007,microsoft word 2004,microsoft,,259.95,209.99,0
781,998,microsoft excel 2004 ( mac ),microsoft word 2004,microsoft,,229.99,209.99,0
547,998,microsoft outlook 2007,microsoft word 2004,microsoft,,109.95,209.99,0
578,998,microsoft office excel 2007,microsoft word 2004,microsoft,,229.95,209.99,0
605,998,microsoft word 2004 ( mac ),microsoft word 2004,microsoft,,229.99,209.99,1
423,998,microsoft licenses word olp c ( 05903871 ),microsoft word 2004,microsoft licenses,,205.73,209.99,0
