ltable_id,rtable_id,ltable_name,rtable_name,ltable_addr,rtable_addr,ltable_city,rtable_city,ltable_phone,rtable_phone,ltable_type,rtable_type,ltable_class,rtable_class,label
92,184,toulouse,` white house restaurant ',' b peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-237-7601,french,diners,92,719,0
405,184,` luna si ',` white house restaurant ',' 1931 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/355 -5993,404-237-7601,continental,diners,405,719,0
90,184,` dining room ritz-carlton buckhead ',` white house restaurant ',' 3434 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-237-7601,international,diners,90,719,0
393,184,` dante \ 's down the hatch buckhead ',` white house restaurant ',' 3380 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-237-7601,continental,diners,393,719,0
422,184,tomtom,` white house restaurant ',' 3393 peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-7601,continental,diners,422,719,0
92,174,toulouse,` original pancake house ( at ) ',' b peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/351 -9533,404-237-4116,french,american,92,708,0
405,174,` luna si ',` original pancake house ( at ) ',' 1931 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-237-4116,continental,american,405,708,0
90,174,` dining room ritz-carlton buckhead ',` original pancake house ( at ) ',' 3434 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-237-4116,international,american,90,708,0
422,174,tomtom,` original pancake house ( at ) ',' 3393 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/264 -1163,404-237-4116,continental,american,422,708,0
410,174,palisades,` original pancake house ( at ) ',' 1829 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/350 -6755,404-237-4116,continental,american,410,708,0
92,292,toulouse,abruzzi,' b peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-261-8186,french,italian,92,74,0
90,292,` dining room ritz-carlton buckhead ',abruzzi,' 3434 peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-261-8186,international,italian,90,74,0
