ltable_id,rtable_id,ltable_title,rtable_title,ltable_category,rtable_category,ltable_brand,rtable_brand,ltable_modelno,rtable_modelno,ltable_price,rtable_price,label
581,17384,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,cinegray ezframe series fixed frame screen - 150 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,879.0,0
581,16963,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,powergain prime vision series fixed frame screen - 135 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,1069.0,0
1136,16963,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,powergain prime vision series fixed frame screen - 135 diagonal,electronics - general,projection screens,elite screens,elite,pvr135h1,,1069.0,1069.0,0
581,17380,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,cinewhite prime vision series fixed frame screen - 120 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,929.0,0
1136,17380,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,cinewhite prime vision series fixed frame screen - 120 diagonal,electronics - general,projection screens,elite screens,elite,pvr135h1,,1069.0,929.0,0
581,17697,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,459.0,0
1136,17697,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,electronics - general,projection screens,elite screens,elite,pvr135h1,,1069.0,459.0,0
581,17383,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,1069.0,0
1136,17383,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,projection screens,elite screens,elite,pvr135h1,,1069.0,1069.0,1
581,17382,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,205.2,0
1136,17382,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,electronics - general,projection screens,elite screens,elite,pvr135h1,,1069.0,205.2,0
581,260,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,cinegray ezframe series fixed frame screen - 84 diagonal,electronics - general,projection screens,elite screens,elite,r85wh1-wide,,409.0,519.0,0
1502,3825,san diego padres iphone 4 case silicone cover,georgia bulldogs iphone 4 case silicone cover,electronics - general,computers accessories,tribeca,tribeca,fva3959,,24.99,17.99,0
1229,3825,michigan wolverines iphone 4 case silicone cover,georgia bulldogs iphone 4 case silicone cover,electronics - general,computers accessories,tribeca,tribeca,fva3437,,24.99,17.99,0
1502,14348,san diego padres iphone 4 case silicone cover,san antonio spurs iphone 4 case silicone cover,electronics - general,computers accessories,tribeca,tribeca,fva3959,,24.99,17.99,0
226,14348,los angeles angels of anaheim iphone 4 case silicone cover,san antonio spurs iphone 4 case silicone cover,electronics - general,computers accessories,tribeca,tribeca,fva3955,,24.99,17.99,0
1229,14348,michigan wolverines iphone 4 case silicone cover,san antonio spurs iphone 4 case silicone cover,electronics - general,computers accessories,tribeca,tribeca,fva3437,,24.99,17.99,0
1502,2613,san diego padres iphone 4 case silicone cover,texas longhorns iphone 4 case silicone cover,electronics - general,computers accessories,tribeca,tribeca,fva3959,,24.99,19.99,0
